Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sat,2018-10-27,15:00 (19:30),Bolton,0–1,Hull City,13108,Macron Stadium,David Webb,Match Report,
15,Sat,2018-10-27,15:00 (19:30),West Brom,1–1,Blackburn,23820,The Hawthorns,Scott Duncan,Match Report,
15,Sat,2018-10-27,15:00 (19:30),Birmingham City,3–1,Sheffield Weds,23659,St Andrew's Trillion Trophy Stadium,Darren Bond,Match Report,
15,Sat,2018-10-27,15:00 (19:30),Norwich City,1–0,Brentford,25443,Carrow Road,Oliver Langford,Match Report,
15,Sat,2018-10-27,15:00 (19:30),Preston,1–1,Rotherham Utd,11780,Deepdale Stadium,Jeremy Simpson,Match Report,
15,Sat,2018-10-27,17:30 (22:00),Leeds United,1–1,Nott'ham Forest,34308,Elland Road,Geoff Eltringham,Match Report,
,,,,,,,,,,,
16,Fri,2018-11-02,19:45 (01:15),Aston Villa,2–0,Bolton,30802,Villa Park,Oliver Langford,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Derby County,3–1,Birmingham City,28114,iPro Stadium,Chris Kavanagh,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Reading,3–2,Bristol City,14455,Madejski Stadium,James Linington,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Blackburn,1–0,QPR,13294,Ewood Park,Peter Bankes,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Rotherham Utd,2–1,Swansea City,9006,New York Stadium,Tony Harrington,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Hull City,1–0,West Brom,11916,iPro Stadium,Keith Stroud,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Nott'ham Forest,1–0,Sheffield Utd,28757,The City Ground,Scott Duncan,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Ipswich Town,1–1,Preston,15129,Portman Road Stadium,Andy Woolmer,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Brentford,2–0,Millwall,9476,Griffin Park,Simon Hooper,Match Report,
16,Sat,2018-11-03,15:00 (20:30),Sheffield Weds,0–4,Norwich City,23425,Hillsborough Stadium,Steve Martin,Match Report,
16,Sat,2018-11-03,17:30 (23:00),Stoke City,0–0,Middlesbrough,24553,Bet365 Stadium,Robert Jones,Match Report,
16,Sun,2018-11-04,13:30 (19:00),Wigan Athletic,1–2,Leeds United,14799,The DW Stadium,Andrew Davies,Match Report,
,,,,,,,,,,,
17,Fri,2018-11-09,19:45 (01:15),Sheffield Utd,0–0,Sheffield Weds,30261,Bramall Lane,Andy Madley,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Derby County,0–3,Aston Villa,30400,iPro Stadium,John Brooks,Match Report,
17,Sat,2018-11-10,15:00 (20:30),QPR,3–2,Brentford,17609,Loftus Road Stadium,James Linington,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Birmingham City,3–3,Hull City,21468,St Andrew's Trillion Trophy Stadium,Gavin Ward,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Blackburn,1–1,Rotherham Utd,12847,Ewood Park,David Webb,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Middlesbrough,2–0,Wigan Athletic,22207,Riverside Stadium,Darren England,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Norwich City,4–3,Millwall,26289,Carrow Road,Jeremy Simpson,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Reading,2–2,Ipswich Town,14952,Madejski Stadium,Darren Bond,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Bolton,0–1,Swansea City,14090,Macron Stadium,Graham Scott,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Nott'ham Forest,0–0,Stoke City,28556,The City Ground,Oliver Langford,Match Report,
17,Sat,2018-11-10,15:00 (20:30),Bristol City,0–1,Preston,19797,Ashton Gate Stadium,Geoff Eltringham,Match Report,
17,Sat,2018-11-10,17:30 (23:00),West Brom,4–1,Leeds United,25661,The Hawthorns,Lee Mason,Match Report,
,,,,,,,,,,,
18,Fri,2018-11-23,19:45 (01:15),Ipswich Town,1–2,West Brom,22995,Portman Road Stadium,Keith Stroud,Match Report,
18,Sat,2018-11-24,12:30 (18:00),Rotherham Utd,2–2,Sheffield Utd,11607,New York Stadium,Peter Bankes,Match Report,
18,Sat,2018-11-24,15:00 (20:30),Millwall,1–1,Bolton,12554,The Den,Lee Swabey,Match Report,
18,Sat,2018-11-24,15:00 (20:30),Wigan Athletic,0–0,Reading,9211,The DW Stadium,Oliver Langford,Match Report,
18,Sat,2018-11-24,15:00 (20:30),Leeds United,2–0,Bristol City,34333,Elland Road,Scott Duncan,Match Report,
18,Sat,2018-11-24,15:00 (20:30),Sheffield Weds,1–2,Derby County,25204,Hillsborough Stadium,Jeremy Simpson,Match Report,
18,Sat,2018-11-24,15:00 (20:30),Preston,4–1,Blackburn,19912,Deepdale Stadium,Andy Madley,Match Report,
